date,week,temperance,silence,order,diligence,primary,chastity,stability,done,undone
2024-10-01,Tuesday,0,0,0,0,0,0,0,0,1
2024-10-02,Wednesday,0,0,0,0,0,0,0,0,1
2024-10-03,Thursday,0,0,0,0,0,0,0,0,1
2024-10-04,Friday,0,0,0,0,0,0,0,0,1
2024-10-05,Saturday,0,0,0,0,0,0,0,0,1
2024-10-06,Sunday,0,0,0,2,1,1,0,0,0
2024-10-07,Monday,1,1,0,1,1,0,1,0,0
2024-10-08,Tuesday,1,0,1,0,0,0,1,0,0
2024-10-09,Wednesday,0,0,0,0,1,0,0,0,0
2024-10-10,Thursday,1,1,1,1,1,0,1,0,0
2024-10-11,Friday,2,2,1,1,1,0,1,0,0
2024-10-12,Saturday,2,1,0,1,1,0,0,0,0
2024-10-13,Sunday,1,1,1,1,1,0,1,0,0
2024-10-14,Monday,1,1,0,1,1,0,1,0,0
2024-10-15,Tuesday,0,0,0,0,0,0,0,0,1
2024-10-16,Wednesday,0,0,0,0,0,0,0,0,1
2024-10-17,Thursday,0,0,0,0,0,0,0,0,1
2024-10-18,Friday,0,0,0,0,0,0,0,0,1
2024-10-19,Saturday,0,0,0,0,0,0,0,0,1
2024-10-20,Sunday,0,0,0,0,0,0,0,0,1
2024-10-21,Monday,0,0,0,0,0,0,0,0,1
2024-10-22,Tuesday,0,0,0,0,0,0,0,0,1
2024-10-23,Wednesday,0,0,0,0,0,0,0,0,1
2024-10-24,Thursday,0,0,0,0,0,0,0,0,1
2024-10-25,Friday,0,0,0,0,0,0,0,0,1
2024-10-26,Saturday,0,0,0,0,0,0,0,0,1
2024-10-27,Sunday,0,0,0,0,0,0,0,0,1
2024-10-28,Monday,0,0,0,0,0,0,0,0,1
2024-10-29,Tuesday,0,0,0,0,0,0,0,0,1
2024-10-30,Wednesday,0,0,0,0,0,0,0,0,1
2024-10-31,Thursday,0,0,0,0,0,0,0,0,1
2024-11-01,Friday,0,0,0,0,0,0,0,0,1
2024-11-02,Saturday,0,0,0,0,0,0,0,0,1
2024-11-03,Sunday,0,0,0,0,0,0,0,0,1
2024-11-04,Monday,0,0,0,0,0,0,0,0,1
2024-11-05,Tuesday,0,0,0,0,0,0,0,0,1
2024-11-06,Wednesday,0,0,0,0,0,0,0,0,1
2024-11-07,Thursday,0,0,0,0,0,0,0,0,1
2024-11-08,Friday,0,0,0,0,0,0,0,0,1
2024-11-09,Saturday,0,0,0,0,0,0,0,0,1
2024-11-10,Sunday,0,0,0,0,0,0,0,0,1
2024-11-11,Monday,0,0,0,0,0,0,0,0,1
2024-11-12,Tuesday,0,0,0,0,0,0,0,0,1
2024-11-13,Wednesday,0,0,0,0,0,0,0,0,1
2024-11-14,Thursday,0,0,0,0,0,0,0,0,1
2024-11-15,Friday,0,0,0,0,0,0,0,0,1
2024-11-16,Saturday,0,0,0,0,0,0,0,0,1
2024-11-17,Sunday,0,0,0,0,0,0,0,0,1
2024-11-18,Monday,0,0,0,0,0,0,0,0,1
2024-11-19,Tuesday,0,0,0,0,0,0,0,0,1
2024-11-20,Wednesday,0,0,0,0,0,0,0,0,1
2024-11-21,Thursday,0,0,0,0,0,0,0,0,1
2024-11-22,Friday,0,0,0,0,0,0,0,0,1
2024-11-23,Saturday,0,0,0,0,0,0,0,0,1
2024-11-24,Sunday,0,0,0,0,0,0,0,0,1
2024-11-25,Monday,0,0,0,0,0,0,0,0,1
2024-11-26,Tuesday,0,0,0,0,0,0,0,0,1
2024-11-27,Wednesday,0,0,0,0,0,0,0,0,1
2024-11-28,Thursday,0,0,0,0,0,0,0,0,1
2024-11-29,Friday,0,0,0,0,0,0,0,0,1
2024-11-30,Saturday,0,0,0,0,0,0,0,0,1
2024-12-01,Sunday,0,0,0,0,0,0,0,0,1
2024-12-02,Monday,0,0,0,0,0,0,0,0,1
2024-12-03,Tuesday,0,0,0,0,0,0,0,0,1
2024-12-04,Wednesday,0,0,0,0,0,0,0,0,1
2024-12-05,Thursday,0,0,0,0,0,0,0,0,1
2024-12-06,Friday,0,0,0,0,0,0,0,0,1
2024-12-07,Saturday,0,0,0,0,0,0,0,0,1
2024-12-08,Sunday,0,0,0,0,0,0,0,0,1
2024-12-09,Monday,0,0,0,0,0,0,0,0,1
2024-12-10,Tuesday,0,0,0,0,0,0,0,0,1
2024-12-11,Wednesday,0,0,0,0,0,0,0,0,1
2024-12-12,Thursday,0,0,0,0,0,0,0,0,1
2024-12-13,Friday,0,0,0,0,0,0,0,0,1
2024-12-14,Saturday,0,0,0,0,0,0,0,0,1
2024-12-15,Sunday,0,0,0,0,0,0,0,0,1
2024-12-16,Monday,0,0,0,0,0,0,0,0,1
2024-12-17,Tuesday,0,0,0,0,0,0,0,0,1
2024-12-18,Wednesday,0,0,0,0,0,0,0,0,1
2024-12-19,Thursday,0,0,0,0,0,0,0,0,1
2024-12-20,Friday,0,0,0,0,0,0,0,0,1
2024-12-21,Saturday,0,0,0,0,0,0,0,0,1
2024-12-22,Sunday,0,0,0,0,0,0,0,0,1
2024-12-23,Monday,0,0,0,0,0,0,0,0,1
2024-12-24,Tuesday,0,0,0,0,0,0,0,0,1
2024-12-25,Wednesday,0,0,0,0,0,0,0,0,1
2024-12-26,Thursday,0,0,0,0,0,0,0,0,1
2024-12-27,Friday,0,0,0,0,0,0,0,0,1
2024-12-28,Saturday,0,0,0,0,0,0,0,0,1
2024-12-29,Sunday,0,0,0,0,0,0,0,0,1
2024-12-30,Monday,0,0,0,0,0,0,0,0,1
2024-12-31,Tuesday,0,0,0,0,0,0,0,0,1
