date,week,get_up,meditation,reading,lunch_break,running,writing,thinking,night_rest
2024-01-01,Monday,0,0,1,0,1,0,0,0
2024-01-02,Tuesday,0,0,1,0,1,0,0,0
2024-01-03,Wednesday,0,0,1,0,1,0,0,0
2024-01-04,Thursday,0,0,1,0,1,0,0,0
2024-01-05,Friday,0,0,1,0,1,0,0,0
2024-01-06,Saturday,0,0,1,0,1,0,0,0
2024-01-07,Sunday,0,0,1,0,1,0,0,0
2024-01-08,Monday,0,0,0,0,1,0,0,0
2024-01-09,Tuesday,0,0,0,0,0,0,0,0
2024-01-10,Wednesday,0,0,1,0,1,0,0,0
2024-01-11,Thursday,0,0,1,0,1,0,0,0
2024-01-12,Friday,0,0,1,0,1,0,0,0
2024-01-13,Saturday,0,0,1,0,1,0,0,0
2024-01-14,Sunday,0,0,1,0,1,0,0,0
2024-01-15,Monday,0,0,1,0,1,0,0,0
2024-01-16,Tuesday,0,0,1,0,1,0,0,0
2024-01-17,Wednesday,0,0,1,0,1,0,0,0
2024-01-18,Thursday,0,0,1,0,0,0,0,0
2024-01-19,Friday,0,0,1,0,0,0,0,0
2024-01-20,Saturday,0,0,0,0,0,0,0,0
2024-01-21,Sunday,0,0,0,0,0,0,0,0
2024-01-22,Monday,0,0,1,0,1,0,0,0
2024-01-23,Tuesday,0,0,1,0,1,0,0,0
2024-01-24,Wednesday,0,0,1,0,1,0,0,0
2024-01-25,Thursday,0,0,1,0,0,0,0,0
2024-01-26,Friday,0,0,0,0,0,0,0,0
2024-01-27,Saturday,0,0,1,0,0,0,0,0
2024-01-28,Sunday,0,0,0,0,0,0,0,0
2024-01-29,Monday,0,0,0,0,0,0,0,0
2024-01-30,Tuesday,0,0,0,0,0,0,0,0
2024-01-31,Wednesday,0,0,0,0,1,0,0,0
2024-02-01,Thursday,0,0,0,0,1,0,0,0
2024-02-02,Friday,0,0,0,0,0,0,0,0
2024-02-03,Saturday,0,0,0,0,0,0,0,0
2024-02-04,Sunday,0,0,0,0,0,0,0,0
2024-02-05,Monday,0,0,1,0,1,0,0,0
2024-02-06,Tuesday,0,0,0,0,1,0,0,0
2024-02-07,Wednesday,0,0,0,0,1,0,0,0
2024-02-08,Thursday,0,0,0,0,1,0,0,0
2024-02-09,Friday,0,0,1,0,0,0,0,0
2024-02-10,Saturday,0,0,1,0,0,0,0,0
2024-02-11,Sunday,0,0,1,0,1,0,0,0
2024-02-12,Monday,0,0,0,0,1,0,0,0
2024-02-13,Tuesday,0,0,0,0,0,0,0,0
2024-02-14,Wednesday,0,0,1,0,1,0,0,0
